RecordType,Quarter,Country,Ship,Gear,SweepLngt,GearEx,DoorType,StNo,HaulNo,Year,Month,Day,TimeShot,DepthStratum,HaulDur,DayNight,ShootLat,ShootLong,HaulLat,HaulLong,Depth,HaulVal,HydroStNo,StdSpecRecCode,BySpecRecCode,DataType,Netopening,Rigging,Tickler,Distance,Warplngt,Warpdia,WarpDen,DoorSurface,DoorWgt,DoorSpread,WingSpread,Buoyancy,KiteDim,WgtGroundRope,TowDir,GroundSpeed,SpeedWater,SurCurDir,SurCurSpeed,BotCurDir,BotCurSpeed,WindDir,WindSpeed,SwellDir,SwellHeight,SurTemp,BotTemp,SurSal,BotSal,ThermoCline,ThClineDepth,CodendMesh,SecchiDepth,Turbidity,TidePhase,TideSpeed,PelSampType,MinTrawlDepth,MaxTrawlDepth,SurveyIndexArea
HH,2,NL,64T2 ,MRN2,3774.892192,,,721905,2018NL002,2018,4,16,11,,13,d,52.25967,4.2555,,,18,,,,,R,2,,,961,,,,,,,,,,,,,,,,,,,,,,7.36,7.12,30.75,30.83,,,500,,,,,,,,
HH,2,NL,64T2 ,MRN2,3505.561995,,,721906,2018NL003,2018,4,16,11,,11,d,52.60233,4.285,,,24,,,,,R,2,,,1638,,,,,,,,,,,,,,,,,,,,,,7.2,7.19,33.06,32.97,,,500,,,,,,,,
HH,2,NL,64T2 ,MRN2,3744.294574,,,721907,2018NL004,2018,4,16,13,,12,d,52.76817,4.253,,,25,,,,,R,2,,,1472,,,,,,,,,,,,,,,,,,,,,,7.45,7.43,33.34,34.36,,,500,,,,,,,,
HH,2,NL,64T2 ,MRN2,3113.841326,,,721903,2018NL005,2018,4,16,15,,10,d,53.25217,4.2845,,,30,,,,,R,2,,,1229,,,,,,,,,,,,,,,,,,,,,,7.43,7.43,34.11,35.7,,,500,,,,,,,,
HH,2,NL,64T2 ,MRN2,4260.89622,,,721909,2018NL010,2018,4,16,19,,12,d,53.2685,4.7255,,,27,,,,,R,2,,,1523,,,,,,,,,,,,,,,,,,,,,,7.01,6.98,32.89,32.91,,,500,,,,,,,,
HH,2,NL,64T2 ,MRN2,5430.009862,,,721910,2018NL011,2018,4,16,19,,16,d,53.7245,4.83417,,,38,,,,,R,2,,,1824,,,,,,,,,,,,,,,,,,,,,,7.82,7.82,33.57,33.63,,,500,,,,,,,,
HH,2,NL,64T2 ,MRN2,3125.226486,,,721911,2018NL012,2018,4,16,22,,10,n,53.75133,5.26933,,,34,,,,,R,2,,,918,,,,,,,,,,,,,,,,,,,,,,8.02,8.02,32.98,31.55,,,500,,,,,,,,
HH,2,NL,64T2 ,MRN2,3307.38905,,,721912,2018NL013,2018,4,17,23,,10,n,53.74317,5.74317,,,29,,,,,R,2,,,694,,,,,,,,,,,,,,,,,,,,,,5.84,5.86,32.26,31.95,,,500,,,,,,,,
HH,2,NL,64T2 ,MRN2,3148.708379,,,721913,2018NL014,2018,4,17,0,,10,n,53.751,6.23983,,,26,,,,,R,2,,,583,,,,,,,,,,,,,,,,,,,,,,5.26,5.26,32.38,32.17,,,500,,,,,,,,
HH,2,NL,64T2 ,MRN2,3032.722059,,,721914,2018NL015,2018,4,17,2,,10,n,53.77233,6.7345,,,18,,,,,R,2,,,516,,,,,,,,,,,,,,,,,,,,,,5.28,5.27,32.09,32.08,,,500,,,,,,,,
HH,2,NL,64T2 ,MRN2,3648.232285,,,721915,2018NL016,2018,4,17,4,,12,n,53.85767,7.22417,,,25,,,,,R,2,,,767,,,,,,,,,,,,,,,,,,,,,,4.9,4.9,32.36,32.51,,,500,,,,,,,,
HH,2,NL,64T2 ,MRN2,4932.620674,,,721916,2018NL017,2018,4,17,6,,10,n,54.22283,7.72583,,,39,,,,,R,2,,,867,,,,,,,,,,,,,,,,,,,,,,5.01,4.92,33.65,34.56,,,500,,,,,,,,
HH,2,NL,64T2 ,MRN2,5185.94049,,,721918,2018NL019,2018,4,17,11,,11,d,55.25417,7.72167,,,24,,,,,R,2,,,2778,,,,,,,,,,,,,,,,,,,,,,4.9,4.77,32.9,32.62,,,500,,,,,,,,
HH,2,NL,64T2 ,MRN2,6192.459812,,,721919,2018NL020,2018,4,17,13,,13,d,55.75683,7.26833,,,28,,,,,R,2,,,1514,,,,,,,,,,,,,,,,,,,,,,5.63,5.62,32.5,32.47,,,500,,,,,,,,
HH,2,NL,64T2 ,MRN2,5578.372732,,,721920,2018NL021,2018,4,17,16,,11,d,55.87617,7.52183,,,21,,,,,R,2,,,1318,,,,,,,,,,,,,,,,,,,,,,4.46,4.4,33.48,33.24,,,500,,,,,,,,
HH,2,NL,64T2 ,MRN2,4080.512588,,,721921,2018NL022,2018,4,17,17,,12,d,56.24267,7.70667,,,29,,,,,R,2,,,1321,,,,,,,,,,,,,,,,,,,,,,4.45,4.44,33.32,33.37,,,500,,,,,,,,
HH,2,NL,64T2 ,MRN2,3794.816223,,,721922,2018NL023,2018,4,17,18,,11,d,56.25133,7.25333,,,32,,,,,R,2,,,1100,,,,,,,,,,,,,,,,,,,,,,4.86,4.86,34.87,33.43,,,500,,,,,,,,
HH,2,NL,64T2 ,MRN2,4625.577134,,,721923,2018NL024,2018,4,17,20,,11,d,56.25083,6.74317,,,39,,,,,R,2,,,3518,,,,,,,,,,,,,,,,,,,,,,4.46,4.42,33.61,33.29,,,500,,,,,,,,
HH,2,NL,64T2 ,MRN2,4126.409015,,,721924,2018NL025,2018,4,17,21,,13,n,56.25117,6.222,,,43,,,,,R,2,,,1191,,,,,,,,,,,,,,,,,,,,,,4.95,4.93,35,34.89,,,500,,,,,,,,
HH,2,NL,64T2 ,MRN2,4496.070936,,,721925,2018NL026,2018,4,18,2,,16,n,56.25083,5.74017,,,53,,,,,R,2,,,1256,,,,,,,,,,,,,,,,,,,,,,4.98,4.99,35.41,35.25,,,500,,,,,,,,
HH,2,NL,64T2 ,MRN2,3435.472103,,,721926,2018NL027,2018,4,18,2,,11,n,56.24233,5.2835,,,56,,,,,R,2,,,2960,,,,,,,,,,,,,,,,,,,,,,5.13,5.19,37.92,35.32,,,500,,,,,,,,
HH,2,NL,64T2 ,MRN2,4370.122601,,,721928,2018NL029,2018,4,18,7,,13,d,55.7525,5.73333,,,51,,,,,R,2,,,1519,,,,,,,,,,,,,,,,,,,,,,4.98,4.99,34.74,34.74,,,500,,,,,,,,
HH,2,NL,64T2 ,MRN2,3394.912469,,,721929,2018NL030,2018,4,18,8,,11,d,55.7515,6.23933,,,46,,,,,R,2,,,1210,,,,,,,,,,,,,,,,,,,,,,5.33,5.35,37.11,35.04,,,500,,,,,,,,
HH,2,NL,64T2 ,MRN2,3547.188988,,,721930,2018NL031,2018,4,18,9,,11,d,55.736,6.7535,,,37,,,,,R,2,,,1262,,,,,,,,,,,,,,,,,,,,,,5.06,5.07,34.56,34.47,,,500,,,,,,,,
HH,2,NL,64T2 ,MRN2,3394.556683,,,721957,2018NL032,2018,4,18,10,,11,d,55.3415,7.042,,,31,,,,,R,2,,,1028,,,,,,,,,,,,,,,,,,,,,,5.52,5.45,31.67,35.35,,,500,,,,,,,,
HH,2,NL,64T2 ,MRN2,2363.488109,,,721932,2018NL033,2018,4,18,12,,10,d,55.25917,6.57217,,,42,,,,,R,2,,,2405,,,,,,,,,,,,,,,,,,,,,,5.5,5.23,34.63,34.86,,,500,,,,,,,,
HH,2,NL,64T2 ,MRN2,4175.151732,,,721933,2018NL034,2018,4,18,14,,14,d,55.25183,6.2225,,,49,,,,,R,2,,,2919,,,,,,,,,,,,,,,,,,,,,,6.2,6.39,32.71,34.95,,,500,,,,,,,,
HH,2,NL,64T2 ,MRN2,3946.736955,,,721934,2018NL035,2018,4,18,15,,14,d,55.2415,5.71733,,,47,,,,,R,2,,,1392,,,,,,,,,,,,,,,,,,,,,,6.02,5.81,36.8,35,,,500,,,,,,,,
HH,2,NL,64T2 ,MRN2,3980.892436,,,721935,2018NL036,2018,4,18,16,,11,d,55.24133,5.22533,,,42,,,,,R,2,,,1304,,,,,,,,,,,,,,,,,,,,,,5.99,5.98,34.83,34.67,,,500,,,,,,,,
HH,2,NL,64T2 ,MRN2,5281.291207,,,721936,2018NL037,2018,4,18,18,,16,d,54.8345,4.86883,,,44,,,,,R,2,,,1929,,,,,,,,,,,,,,,,,,,,,,6.57,6.58,35.23,34.32,,,500,,,,,,,,
HH,2,NL,64T2 ,MRN2,4286.868617,,,721937,2018NL038,2018,4,18,20,,12,d,54.74267,5.27433,,,45,,,,,R,2,,,1665,,,,,,,,,,,,,,,,,,,,,,6.89,6.97,34.6,33.71,,,500,,,,,,,,
