RecordType,Survey,Country,Institute,Campaign,SurveyPeriod,Ship,Gear,GearDeployment,MeshSize,MeshType,CodendMesh,StationNumber,HaulID,ELHaulFlag,NationalHaulID,Day,Month,Year,Hour,Minute,StartLatitude,StartLongitude,HaulDurationMinutes,HaulDurationSeconds,Distance,WireAngle,WireLength,Netopening,NetopeningArea,FlowEfficiency,NetClogging,FlowmeterType,FlowmeterBrand,FlowIntRevs,FlowIntCalibr,FlowExtRevs,FlowExtCalibr,VolumeFiltInt,,ELVolFlag,DepthUpper,DepthLower,DepthBottom,SurTemp,Temp20m,Temp50m,Temp100m,BotTemp,SurSal,Sal20m,BotSal,statrec,Notes,Day/night
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,721905,        2018NL002,,20185400002,16,4,2018,11,15,52.25967,4.2555,13,30,961,,,2,3.141592654,1,0.005183789,EMD,Valeport,10610,8.83,55,8.69,3774.892192,,f,0,13,18,7.36,,,,7.12,30.75,,30.83,33F4,,d
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,721906,        2018NL003,,20185400003,16,4,2018,11,42,52.60233,4.285,11,18,1638,,,2,3.141592654,1,0.469501675,EMD,Valeport,9853,8.83,4626,8.69,3505.561995,,f,0,18,24,7.2,,,,7.19,33.06,,32.97,34F4,,d
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,721907,        2018NL004,,20185400004,16,4,2018,13,22,52.76817,4.253,12,18,1472,,,2,3.141592654,1,0.874287343,EMD,Valeport,10524,8.83,9201,8.69,3744.294574,,f,0,20,25,7.45,,,,7.43,33.34,,34.36,34F4,,d
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,721903,        2018NL005,,20185400005,16,4,2018,15,7,53.25217,4.2845,10,24,1229,,,2,3.141592654,1,0.271823583,EMD,Valeport,8752,8.83,2379,8.69,3113.841326,,f,0,25,30,7.43,,,,7.43,34.11,,35.7,35F4,,d
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,721909,        2018NL010,,20185400010,16,4,2018,19,37,53.2685,4.7255,12,42,1523,,,2,3.141592654,1,0.389195057,EMD,Valeport,11976,8.83,4661,8.69,4260.89622,,f,0,20,27,7.01,,,,6.98,32.89,,32.91,35F4,,d
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,721910,        2018NL011,,20185400011,16,4,2018,19,51,53.7245,4.83417,16,0,1824,,,2,3.141592654,1,0.717599266,EMD,Valeport,15262,8.83,10952,8.69,5430.009862,,f,0,32,38,7.82,,,,7.82,33.57,,33.63,36F4,,d
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,721911,        2018NL012,,20185400012,16,4,2018,22,10,53.75133,5.26933,10,24,918,,,2,3.141592654,1,0.699795082,EMD,Valeport,8784,8.83,6147,8.69,3125.226486,,f,0,28,34,8.02,,,,8.02,32.98,,31.55,36F5,,n
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,721912,        2018NL013,,20185400013,17,4,2018,23,26,53.74317,5.74317,10,24,694,,,2,3.141592654,1,0.843481067,EMD,Valeport,9296,8.83,7841,8.69,3307.38905,,f,0,23,29,5.84,,,,5.86,32.26,,31.95,36F5,,n
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,721913,        2018NL014,,20185400014,17,4,2018,0,59,53.751,6.23983,10,54,583,,,2,3.141592654,1,0.935480226,EMD,Valeport,8850,8.83,8279,8.69,3148.708379,,f,0,21,26,5.26,,,,5.26,32.38,,32.17,36F6,,n
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,721914,        2018NL015,,20185400015,17,4,2018,2,50,53.77233,6.7345,10,24,516,,,2,3.141592654,1,0.637024871,EMD,Valeport,8524,8.83,5430,8.69,3032.722059,,f,0,13,18,5.28,,,,5.27,32.09,,32.08,36F6,,n
