RecordType,HaulID,Species,ELSampleFlag ,IndividualNumber,Length,DevScale,DevStage,Number,SubFactor,SpecIdentMethod ,OilGlobulesFlag ,OilGlobulesNumber ,OilGlobulesDiam,PreservationMethod,Notes,
EM,        2018NL002,Clupea harengus,LV,,21,MN1,l,5,1,visual,N,,,F4B,,
EM,        2018NL002,Clupea harengus,LV,,22,MN1,l,5,1,visual,N,,,F4B,,
EM,        2018NL002,Clupea harengus,LV,,23,MN1,l,2,1,visual,N,,,F4B,,
EM,        2018NL002,Clupea harengus,LV,,24,MN1,l,5,1,visual,N,,,F4B,,
EM,        2018NL002,Clupea harengus,LV,,25,MN1,l,1,1,visual,N,,,F4B,,
EM,        2018NL002,Clupea harengus,LV,,26,MN1,l,3,1,visual,N,,,F4B,,
EM,        2018NL002,Clupea harengus,LV,,27,MN1,l,2,1,visual,N,,,F4B,,
EM,        2018NL002,Clupea harengus,LV,,30,MN1,l,1,1,visual,N,,,F4B,,
EM,        2018NL002,Clupea harengus,LV,,0,MN1,l,5,1,visual,N,,,F4B,Larvae damaged could not be measured,
EM,        2018NL003,Clupea harengus,LV,,21,MN1,l,3,1,visual,N,,,F4B,,
EM,        2018NL003,Clupea harengus,LV,,23,MN1,l,4,1,visual,N,,,F4B,,
EM,        2018NL003,Clupea harengus,LV,,24,MN1,l,5,1,visual,N,,,F4B,,
EM,        2018NL003,Clupea harengus,LV,,25,MN1,l,6,1,visual,N,,,F4B,,
EM,        2018NL003,Clupea harengus,LV,,26,MN1,l,3,1,visual,N,,,F4B,,
EM,        2018NL003,Clupea harengus,LV,,27,MN1,l,2,1,visual,N,,,F4B,,
EM,        2018NL003,Clupea harengus,LV,,28,MN1,l,2,1,visual,N,,,F4B,,
EM,        2018NL003,Clupea harengus,LV,,29,MN1,l,1,1,visual,N,,,F4B,,
EM,        2018NL003,Clupea harengus,LV,,0,MN1,l,3,1,visual,N,,,F4B,Larvae damaged could not be measured,
EM,        2018NL004,Clupea harengus,LV,,20,MN1,l,1,1.76,visual,N,,,F4B,,
EM,        2018NL004,Clupea harengus,LV,,21,MN1,l,3,1.76,visual,N,,,F4B,,
EM,        2018NL004,Clupea harengus,LV,,22,MN1,l,1,1.76,visual,N,,,F4B,,
EM,        2018NL004,Clupea harengus,LV,,23,MN1,l,6,1.76,visual,N,,,F4B,,
EM,        2018NL004,Clupea harengus,LV,,24,MN1,l,11,1.76,visual,N,,,F4B,,
EM,        2018NL004,Clupea harengus,LV,,25,MN1,l,5,1.76,visual,N,,,F4B,,
EM,        2018NL004,Clupea harengus,LV,,26,MN1,l,6,1.76,visual,N,,,F4B,,
EM,        2018NL004,Clupea harengus,LV,,27,MN1,l,4,1.76,visual,N,,,F4B,,
EM,        2018NL004,Clupea harengus,LV,,28,MN1,l,3,1.76,visual,N,,,F4B,,
EM,        2018NL004,Clupea harengus,LV,,29,MN1,l,4,1.76,visual,N,,,F4B,,
EM,        2018NL004,Clupea harengus,LV,,33,MN1,l,1,1.76,visual,N,,,F4B,,
EM,        2018NL004,Clupea harengus,LV,,34,MN1,l,1,1.76,visual,N,,,F4B,,
EM,        2018NL004,Clupea harengus,LV,,0,MN1,l,4,1.76,visual,N,,,F4B,Larvae damaged could not be measured,
EM,        2018NL005,Clupea harengus,LV,,21,MN1,l,3,1,visual,N,,,F4B,,
EM,        2018NL005,Clupea harengus,LV,,22,MN1,l,1,1,visual,N,,,F4B,,
EM,        2018NL005,Clupea harengus,LV,,23,MN1,l,3,1,visual,N,,,F4B,,
EM,        2018NL005,Clupea harengus,LV,,24,MN1,l,6,1,visual,N,,,F4B,,
EM,        2018NL005,Clupea harengus,LV,,25,MN1,l,5,1,visual,N,,,F4B,,
EM,        2018NL005,Clupea harengus,LV,,26,MN1,l,1,1,visual,N,,,F4B,,
EM,        2018NL005,Clupea harengus,LV,,27,MN1,l,4,1,visual,N,,,F4B,,
EM,        2018NL005,Clupea harengus,LV,,29,MN1,l,1,1,visual,N,,,F4B,,
EM,        2018NL005,Clupea harengus,LV,,0,MN1,l,3,1,visual,N,,,F4B,,
EM,        2018NL005,Clupea harengus,LV,,0,MN1,l,2,1,visual,N,,,F4B,Larvae damaged could not be measured,
EM,        2018NL010,Clupea harengus,LV,,19,MN1,l,2,3.86,visual,N,,,F4B,,
EM,        2018NL010,Clupea harengus,LV,,20,MN1,l,1,3.86,visual,N,,,F4B,,
EM,        2018NL010,Clupea harengus,LV,,21,MN1,l,3,3.86,visual,N,,,F4B,,
EM,        2018NL010,Clupea harengus,LV,,22,MN1,l,8,3.86,visual,N,,,F4B,,
EM,        2018NL010,Clupea harengus,LV,,23,MN1,l,6,3.86,visual,N,,,F4B,,
EM,        2018NL010,Clupea harengus,LV,,24,MN1,l,12,3.86,visual,N,,,F4B,,
EM,        2018NL010,Clupea harengus,LV,,25,MN1,l,10,3.86,visual,N,,,F4B,,
EM,        2018NL010,Clupea harengus,LV,,26,MN1,l,2,3.86,visual,N,,,F4B,,
EM,        2018NL010,Clupea harengus,LV,,27,MN1,l,2,3.86,visual,N,,,F4B,,
EM,        2018NL010,Clupea harengus,LV,,28,MN1,l,3,3.86,visual,N,,,F4B,,
EM,        2018NL010,Clupea harengus,LV,,30,MN1,l,1,3.86,visual,N,,,F4B,,
EM,        2018NL011,Clupea harengus,LV,,19,MN1,l,1,10.56,visual,N,,,F4B,,
EM,        2018NL011,Clupea harengus,LV,,22,MN1,l,3,10.56,visual,N,,,F4B,,
EM,        2018NL011,Clupea harengus,LV,,23,MN1,l,5,10.56,visual,N,,,F4B,,
EM,        2018NL011,Clupea harengus,LV,,24,MN1,l,8,10.56,visual,N,,,F4B,,
EM,        2018NL011,Clupea harengus,LV,,25,MN1,l,6,10.56,visual,N,,,F4B,,
EM,        2018NL011,Clupea harengus,LV,,26,MN1,l,4,10.56,visual,N,,,F4B,,
EM,        2018NL011,Clupea harengus,LV,,27,MN1,l,1,10.56,visual,N,,,F4B,,
EM,        2018NL011,Clupea harengus,LV,,28,MN1,l,2,10.56,visual,N,,,F4B,,
EM,        2018NL011,Clupea harengus,LV,,29,MN1,l,2,10.56,visual,N,,,F4B,,
EM,        2018NL011,Clupea harengus,LV,,30,MN1,l,5,10.56,visual,N,,,F4B,,
EM,        2018NL011,Clupea harengus,LV,,31,MN1,l,5,10.56,visual,N,,,F4B,,
EM,        2018NL011,Clupea harengus,LV,,32,MN1,l,1,10.56,visual,N,,,F4B,,
EM,        2018NL011,Clupea harengus,LV,,35,MN1,l,2,10.56,visual,N,,,F4B,,
EM,        2018NL011,Clupea harengus,LV,,0,MN1,l,15,10.56,visual,N,,,F4B,Larvae damaged could not be measured,
