RecordType,order_slots,fields_DATRAS,fields_eggsLarvae
HH,1,RecordType,RecordType
HH,2,Survey,Survey
HH,3,Quarter,SurveyPeriod
HH,4,Country,Country
HH,5,Ship,Ship
HH,6,Gear,Gear
HH,7,SweepLngt,
HH,8,GearEx,
HH,9,DoorType,
HH,10,StNo,StationNumber
HH,11,HaulNo,HaulID
HH,12,Year,Year
HH,13,Month,Month
HH,14,Day,Day
HH,15,TimeShot,Hour
HH,,,Minute
HH,16,DepthStratum,
HH,17,HaulDur,HaulDurationMinutes
HH,,,HaulDurationSeconds
HH,18,DayNight,Day/night
HH,19,ShootLat,StartLatitude
HH,20,ShootLong,StartLongitude
HH,21,HaulLat,
HH,22,HaulLong,
HH,23,StatRec,StatRec
HH,24,Depth,DepthBottom
HH,25,HaulVal,ELHaulFlag
HH,26,HydroStNo,
HH,27,StdSpecRecCode,
HH,28,BySpecRecCode,
HH,29,DataType,
HH,30,Netopening,Netopening
HH,31,Rigging,
HH,32,Tickler,
HH,33,Distance,Distance
HH,34,Warplngt,WireLength
HH,35,Warpdia,
HH,36,WarpDen,
HH,37,DoorSurface,
HH,38,DoorWgt,
HH,39,DoorSpread,
HH,40,WingSpread,
HH,41,Buoyancy,
HH,42,KiteDim,
HH,43,WgtGroundRope,
HH,44,TowDir,
HH,45,GroundSpeed,
HH,46,SpeedWater,
HH,47,SurCurDir,
HH,48,SurCurSpeed,
HH,49,BotCurDir,
HH,50,BotCurSpeed,
HH,51,WindDir,
HH,52,WindSpeed,
HH,53,SwellDir,
HH,54,SwellHeight,
HH,55,SurTemp,SurTemp
HH,56,BotTemp,BotTemp
HH,57,SurSal,SurSal
HH,58,BotSal,BotSal
HH,59,ThermoCline,
HH,60,ThClineDepth,
HH,61,CodendMesh,CodendMesh
HH,62,SecchiDepth,
HH,63,Turbidity,
HH,64,TidePhase,
HH,65,TideSpeed,
HH,66,PelSampType,
HH,67,MinTrawlDepth,
HH,68,MaxTrawlDepth,
HH,69,SurveyIndexArea,
HH,,,Institute
HH,,,Campaign
HH,,,GearDeployment
HH,,,MeshSize
HH,,,MeshType
HH,,,NationalHaulID
HH,,,WireAngle
HH,,,NetopeningArea
HH,,,FlowEfficiency
HH,,,NetClogging
HH,,,FlowmeterType
HH,,,FlowmeterBrand
HH,,,FlowIntRevs
HH,,,FlowIntCalibr
HH,,,FlowExtRevs
HH,,,FlowExtCalibr
HH,,,VolumeFiltInt
HH,,,ELVolFlag
HH,,,DepthUpper
HH,,,DepthLower
HH,,,Temp20m
HH,,,Temp50m
HH,,,Temp100m
HH,,,Sal20m
HH,,,Notes
HH,,,Notes
HL,1,RecordType,RecordType
HL,2,Survey,Survey
HL,3,Quarter,SurveyPeriod
HL,4,Country,Country
HL,5,Ship,Ship
HL,6,Gear,Gear
HL,7,SweepLngt,
HL,8,GearEx,
HL,9,DoorType,
HL,10,StNo,StationNumber
HL,11,HaulNo,HaulID
HL,12,Year,
HL,13,SpecCodeType,
HL,14,SpecCode,Species
HL,15,SpecVal,
HL,16,Sex,
HL,17,TotalNo,Number
HL,18,CatIdentifier,
HL,19,NoMeas,
HL,20,SubFactor,RaisingFactor
HL,21,SubWgt,
HL,22,CatCatchWgt,
HL,23,LngtCode,
HL,24,LngtClass,Length
HL,25,HLNoAtLngt,
HL,26,DevStage,
HL,27,LenMeasType,
HL,,,ELSampleFlag
HL,,,SpecIdentMethod
HL,,,OilGlobulesFlag
HL,,,OilGlobulesNumber
HL,,,OilGlobulesDiam
HL,,,PreservationMethod
CA,1,RecordType,RecordType
CA,2,Survey,Survey
CA,3,Quarter,SurveyPeriod
CA,4,Country,Country
CA,5,Ship,Ship
CA,6,Gear,Gear
CA,7,SweepLngt,
CA,8,GearEx,
CA,9,DoorType,
CA,10,StNo,StationNumber
CA,11,HaulNo,HaulID
CA,12,Year,
CA,13,SpecCodeType,
CA,14,SpecCode,Species
CA,15,AreaType,
CA,16,AreaCode,
CA,17,LngtCode,
CA,18,LngtClass,Length
CA,19,Sex,
CA,20,Maturity,DevStage
CA,21,PlusGr,
CA,22,AgeRings,
CA,23,CANoAtLngt,
CA,24,IndWgt,
CA,25,MaturityScale,DevScale
CA,26,FishID,IndividualNumber
CA,27,GenSamp,
CA,28,StomSamp,
CA,29,AgeSource,
CA,30,AgePrepMet,
CA,31,OtGrading,
CA,32,ParSamp,
CA,33,LiverWeight,
